state,account_length,area_code,phone_number,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,class
26,110,408,2400.0,0,1,10,190.0,90,30.0,240.0,110,20.0,260.0,115,11.0,13.0,6,3.0,8,0
9,20,510,800.0,0,0,0,90.0,35,12.0,90.0,55,12.0,100.0,45,6.0,7.0,2,1.0,9,0
40,180,415,4100.0,0,1,25,280.0,120,40.0,310.0,135,26.0,330.0,145,14.0,16.0,11,4.5,1,1
16,60,408,1500.0,0,0,2,120.0,55,20.0,140.0,75,14.0,140.0,80,8.0,9.0,4,1.8,2,0
43,200,510,4400.0,1,1,35,310.0,140,48.0,330.0,140,27.0,350.0,155,15.0,18.0,13,5.0,3,1
3,8,415,400.0,0,0,0,60.0,25,9.0,70.0,45,10.0,70.0,35,5.0,6.0,1,0.4,4,0
46,210,408,4600.0,0,1,30,300.0,140,45.0,320.0,140,26.0,340.0,150,14.0,17.0,12,4.7,5,0
10,25,510,900.0,0,0,0,100.0,40,13.0,100.0,60,13.0,110.0,50,7.0,8.0,3,1.2,6,0
34,140,415,3200.0,0,1,20,240.0,110,33.0,280.0,120,22.0,310.0,130,12.0,15.0,8,3.4,7,0
6,12,408,500.0,0,0,0,70.0,25,8.0,70.0,45,9.0,70.0,35,5.0,6.0,1,0.5,8,0
39,170,510,3900.0,1,1,35,310.0,140,47.0,330.0,140,27.0,360.0,155,15.0,18.0,13,5.0,9,1
17,70,415,1600.0,0,0,3,140.0,70,24.0,170.0,85,16.0,170.0,90,9.0,10.0,5,2.4,1,0
27,110,408,2600.0,0,1,12,190.0,90,30.0,240.0,110,20.0,260.0,115,11.0,13.0,6,3.0,2,0
5,5,510,300.0,0,0,0,30.0,10,5.0,30.0,35,5.0,20.0,10,2.0,3.0,1,0.2,3,0
45,190,415,4300.0,0,1,30,320.0,140,48.0,330.0,140,27.0,350.0,155,15.0,18.0,13,5.0,4,1
12,35,408,1200.0,0,0,1,110.0,55,20.0,140.0,75,14.0,140.0,80,8.0,9.0,4,1.9,5,0
38,150,510,3500.0,0,1,25,260.0,120,38.0,290.0,125,24.0,310.0,140,13.0,16.0,9,4.1,6,0
2,8,415,400.0,0,0,0,60.0,25,9.0,70.0,45,10.0,70.0,35,5.0,6.0,1,0.4,7,0
49,210,408,4700.0,1,1,30,320.0,140,48.0,330.0,140,27.0,350.0,155,15.0,18.0,13,5.0,8,1
15,55,510,1400.0,0,0,2,120.0,55,20.0,140.0,75,14.0,140.0,80,8.0,9.0,4,1.8,9,0
30,120,415,2800.0,0,1,10,210.0,95,29.0,250.0,110,19.0,260.0,115,11.0,13.0,6,3.0,1,0
8,20,408,700.0,0,0,0,80.0,35,12.0,90.0,55,12.0,100.0,45,6.0,7.0,2,1.0,2,0
12,110,415,3200.0,0,0,5,180.0,110,32.0,250.0,105,18.0,260.0,90,10.0,12.0,4,3.5,0,0
38,150,408,4100.0,0,1,20,170.0,120,29.0,200.0,110,15.0,220.0,80,9.0,11.0,3,3.2,1,0
5,70,510,800.0,1,0,0,160.0,90,27.0,300.0,95,20.0,280.0,110,12.0,14.0,5,4.0,2,0
45,200,415,4800.0,0,0,10,190.0,140,35.0,310.0,140,22.0,330.0,150,14.0,17.0,9,4.9,3,1
22,90,408,2500.0,0,1,15,140.0,80,25.0,210.0,100,16.0,240.0,100,8.0,9.0,2,2.5,4,0
30,120,510,3500.0,0,0,25,170.0,110,28.0,260.0,115,19.0,270.0,120,11.0,13.0,6,3.8,5,0
2,50,415,1500.0,1,1,30,150.0,70,20.0,190.0,90,14.0,200.0,80,7.0,8.0,1,1.5,6,0
48,180,408,4700.0,0,0,5,200.0,150,40.0,340.0,150,25.0,360.0,160,16.0,19.0,12,5.2,7,1
15,80,510,2200.0,0,1,12,130.0,60,22.0,180.0,85,13.0,190.0,70,6.0,7.0,0,1.0,8,0
27,110,415,3100.0,0,0,8,160.0,100,30.0,240.0,110,18.0,260.0,90,9.0,12.0,4,3.0,9,0
40,140,408,4200.0,0,1,18,190.0,130,34.0,310.0,140,21.0,320.0,140,14.0,17.0,9,4.5,0,1
3,60,510,1800.0,1,0,5,140.0,80,25.0,200.0,95,15.0,210.0,100,8.0,10.0,3,2.0,1,0
35,170,415,4600.0,0,0,22,210.0,140,38.0,330.0,150,23.0,350.0,155,15.0,18.0,11,5.1,2,0
10,75,408,2600.0,0,1,10,150.0,90,28.0,220.0,105,17.0,250.0,110,10.0,12.0,5,3.5,3,0
42,190,510,4800.0,0,0,30,220.0,150,42.0,350.0,160,26.0,380.0,170,16.0,19.0,13,5.2,4,1
6,55,415,1400.0,1,1,20,120.0,70,18.0,170.0,80,12.0,180.0,70,5.0,6.0,1,1.2,5,0
28,130,408,3300.0,0,0,15,170.0,110,30.0,250.0,115,19.0,270.0,120,11.0,13.0,6,3.8,6,0
18,95,510,2000.0,0,1,25,140.0,90,27.0,210.0,100,16.0,230.0,100,9.0,11.0,4,2.8,7,0
32,160,415,4400.0,0,0,10,200.0,140,36.0,310.0,140,22.0,340.0,150,14.0,17.0,9,4.9,8,1
9,70,408,1900.0,1,0,5,130.0,80,24.0,190.0,90,14.0,210.0,90,7.0,9.0,2,1.8,9,0
23,140,510,2700.0,0,1,18,160.0,110,29.0,240.0,110,18.0,260.0,110,10.0,12.0,5,3.0,0,0
41,210,415,4900.0,0,0,12,210.0,150,40.0,360.0,150,24.0,370.0,160,15.0,18.0,11,5.1,1,1
4,45,408,1200.0,1,1,10,110.0,60,15.0,150.0,70,10.0,150.0,60,4.0,5.0,0,0.8,2,0
36,190,510,4300.0,0,0,28,220.0,140,45.0,350.0,160,27.0,380.0,170,16.0,19.0,13,5.2,3,0
14,85,415,2100.0,0,1,15,140.0,90,26.0,210.0,100,16.0,240.0,100,9.0,11.0,4,2.9,4,0
39,200,408,4700.0,0,0,5,210.0,150,42.0,360.0,150,24.0,370.0,160,15.0,18.0,11,5.0,5,1
7,55,510,1300.0,1,0,8,120.0,70,20.0,170.0,80,12.0,180.0,70,5.0,6.0,1,1.1,6,0
31,150,415,3500.0,0,1,20,170.0,110,30.0,250.0,115,19.0,270.0,120,11.0,13.0,6,3.8,7,0
19,90,408,2200.0,0,0,12,140.0,90,27.0,210.0,100,16.0,230.0,100,9.0,11.0,4,2.8,8,0
33,170,510,4600.0,0,0,25,210.0,140,40.0,360.0,150,24.0,370.0,160,15.0,18.0,11,5.1,9,1
1,30,415,800.0,1,1,5,100.0,50,15.0,120.0,70,10.0,140.0,60,4.0,5.0,0,0.5,0,0
44,210,408,4800.0,0,0,10,220.0,150,45.0,380.0,160,26.0,390.0,170,16.0,19.0,13,5.2,1,1
13,80,510,1900.0,0,1,18,140.0,90,27.0,210.0,100,16.0,230.0,100,9.0,11.0,4,2.8,2,0
37,190,415,4700.0,0,0,22,210.0,140,40.0,350.0,150,24.0,360.0,160,15.0,18.0,11,5.0,3,0
11,70,408,2100.0,0,1,12,140.0,90,26.0,210.0,100,16.0,240.0,100,9.0,11.0,4,2.9,4,0
46,220,510,4900.0,0,0,30,220.0,150,45.0,370.0,160,27.0,380.0,170,16.0,19.0,13,5.2,5,1
5,55,415,1400.0,1,0,10,120.0,70,18.0,170.0,80,12.0,180.0,70,5.0,6.0,1,1.2,6,0
29,140,408,3300.0,0,1,15,170.0,110,30.0,250.0,115,19.0,270.0,120,11.0,13.0,6,3.8,7,0
20,100,510,2100.0,0,0,20,140.0,90,27.0,210.0,100,16.0,230.0,100,9.0,11.0,4,2.8,8,0
34,180,415,4600.0,0,0,25,210.0,140,40.0,360.0,150,24.0,370.0,160,15.0,18.0,11,5.1,9,1
0,20,408,500.0,1,0,0,80.0,40,10.0,100.0,60,8.0,120.0,50,3.0,4.0,0,0.3,0,0
47,210,510,4800.0,0,1,28,220.0,150,45.0,370.0,160,27.0,380.0,170,16.0,19.0,13,5.2,1,1
2,45,415,1200.0,1,1,10,110.0,60,15.0,150.0,70,10.0,150.0,60,4.0,5.0,0,0.8,2,0
38,190,408,4700.0,0,0,5,210.0,150,42.0,360.0,150,24.0,370.0,160,15.0,18.0,11,5.0,3,0
12,70,510,2100.0,0,1,15,140.0,90,26.0,210.0,100,16.0,240.0,100,9.0,11.0,4,2.9,4,0
43,200,415,4900.0,0,0,12,210.0,150,40.0,350.0,150,24.0,360.0,160,15.0,18.0,11,5.0,5,1
4,50,408,1400.0,1,0,8,120.0,70,18.0,170.0,80,12.0,180.0,70,5.0,6.0,1,1.2,6,0
27,140,510,3300.0,0,1,20,170.0,110,30.0,250.0,115,19.0,270.0,120,11.0,13.0,6,3.8,7,0
15,90,415,2100.0,0,0,12,140.0,90,27.0,210.0,100,16.0,230.0,100,9.0,11.0,4,2.8,8,0
35,170,408,4600.0,0,0,25,210.0,140,40.0,360.0,150,24.0,370.0,160,15.0,18.0,11,5.1,9,1
12,110,415,3000.0,0,0,5,150.2,90,25.3,210.5,95,15.2,190.0,85,7.8,9.5,3,2.5,1,0
38,170,408,4000.0,0,0,12,200.7,120,35.1,250.3,110,18.0,220.0,110,10.2,12.0,5,3.0,0,0
5,60,510,1500.0,0,0,0,80.5,50,15.0,140.0,70,10.0,120.0,60,5.0,6.0,2,1.5,2,0
45,200,415,4800.0,1,1,30,300.0,150,50.0,320.0,140,25.0,350.0,150,15.0,18.0,10,4.5,3,1
22,90,408,2500.0,0,0,8,170.0,80,28.0,190.0,90,16.0,200.0,90,9.0,10.0,4,2.8,1,0
30,140,510,3500.0,0,0,20,220.0,110,32.0,260.0,120,19.0,240.0,120,11.0,13.0,6,3.2,0,0
18,70,415,1800.0,0,0,3,90.0,60,18.0,150.0,75,12.0,130.0,70,6.0,7.0,3,1.8,4,0
50,210,408,4700.0,0,0,25,310.0,140,45.0,330.0,150,27.0,360.0,160,16.0,19.0,12,5.0,5,1
8,50,510,1200.0,0,0,0,70.0,40,12.0,120.0,60,9.0,110.0,55,4.0,5.0,1,1.0,6,0
35,160,415,4100.0,0,0,15,240.0,100,38.0,280.0,130,20.0,260.0,130,12.0,14.0,7,3.5,7,0
27,120,408,3200.0,0,0,10,190.0,90,30.0,220.0,100,17.0,210.0,100,9.0,11.0,5,2.9,8,0
14,80,510,2000.0,0,0,4,110.0,70,20.0,160.0,80,13.0,140.0,80,7.0,8.0,3,1.9,9,0
42,190,415,4600.0,0,0,22,280.0,130,42.0,310.0,140,24.0,340.0,150,15.0,18.0,11,4.2,0,0
6,40,408,1000.0,0,0,0,60.0,30,10.0,100.0,50,8.0,90.0,45,3.0,4.0,1,0.8,1,0
48,220,510,4900.0,0,0,35,330.0,160,55.0,350.0,155,28.0,370.0,170,16.0,20.0,13,5.1,2,1
15,70,408,2100.0,0,0,7,140.0,70,24.0,170.0,80,13.0,140.0,80,7.0,8.0,3,1.9,3,0
28,160,510,3700.0,0,0,19,250.0,120,36.0,280.0,120,22.0,260.0,120,11.0,13.0,7,3.4,4,0
7,45,415,1400.0,0,0,3,90.0,50,18.0,140.0,70,12.0,120.0,70,6.5,7.5,2,1.6,5,0
43,200,408,4300.0,0,0,27,300.0,140,48.0,330.0,140,23.0,330.0,150,15.0,18.5,11,4.3,6,1
11,60,510,1700.0,0,0,5,110.0,60,22.0,160.0,80,13.0,140.0,80,7.0,8.0,3,1.9,7,0
36,190,415,4100.0,0,0,30,280.0,130,42.0,310.0,140,24.0,340.0,150,15.0,18.0,11,4.2,8,0
3,25,408,1100.0,0,0,2,70.0,35,15.0,120.0,70,12.0,120.0,70,6.0,7.0,2,1.7,9,0
47,220,510,4700.0,0,0,35,310.0,150,52.0,340.0,150,26.0,360.0,160,16.0,19.0,12,5.0,0,0
13,85,415,2100.0,0,0,6,140.0,70,24.0,170.0,80,13.0,140.0,80,7.0,8.0,3,1.9,1,0
34,170,408,3900.0,0,0,22,260.0,120,38.0,270.0,125,21.0,260.0,120,11.0,13.0,7,3.4,2,0
1,15,510,700.0,0,0,0,30.0,15,6.0,60.0,35,5.0,60.0,30,1.5,2.5,0,0.4,3,0
44,210,415,4400.0,0,0,28,290.0,140,48.0,320.0,140,23.0,330.0,150,15.0,18.5,11,4.3,4,0
9,55,408,1300.0,0,0,1,80.0,45,15.0,140.0,70,12.0,120.0,70,6.0,7.0,2,1.7,5,0
40,190,510,4100.0,0,0,32,310.0,150,52.0,340.0,150,26.0,360.0,160,16.0,19.0,12,5.0,6,1
17,80,415,2200.0,0,0,8,150.0,80,28.0,190.0,90,15.0,200.0,90,9.0,10.0,4,2.9,7,0
32,140,408,3600.0,0,0,14,220.0,110,33.0,260.0,120,20.0,240.0,120,11.0,13.0,6,3.3,8,0
5,35,510,950.0,0,0,2,60.0,25,9.0,90.0,45,7.0,80.0,40,2.5,3.5,1,0.6,9,0
45,210,415,4400.0,0,0,28,290.0,140,48.0,320.0,140,23.0,330.0,150,15.0,18.5,11,4.3,0,0
12,65,408,1700.0,0,0,4,110.0,60,22.0,160.0,80,13.0,140.0,80,7.0,8.0,3,1.9,1,0
38,170,510,3800.0,0,0,20,240.0,110,34.0,280.0,125,21.0,260.0,120,11.0,13.0,7,3.4,2,0
0,10,415,800.0,0,0,0,40.0,20,8.0,80.0,40,6.0,70.0,35,2.0,3.0,0,0.5,3,0
49,230,510,4900.0,0,0,40,330.0,160,54.0,350.0,155,27.0,370.0,170,16.0,20.0,13,5.1,4,1
14,75,415,2100.0,0,0,6,140.0,70,24.0,170.0,80,13.0,140.0,80,7.0,8.0,3,1.9,5,0
27,120,408,3200.0,0,0,10,190.0,90,30.0,220.0,100,17.0,210.0,100,9.0,11.0,5,2.9,6,0
22,95,510,2600.0,0,0,9,180.0,80,27.0,190.0,90,15.0,200.0,90,9.0,10.0,4,2.9,7,0
12,90,415,3124.0,0,1,5,150.3,95,28.7,210.4,110,15.2,190.6,105,8.5,9.8,3,2.1,1,0
47,210,408,4789.0,0,0,0,310.1,140,52.3,320.2,140,24.5,350.3,155,15.2,18.2,12,4.8,0,0
3,45,510,1123.0,1,0,12,80.5,60,15.4,120.7,70,10.1,110.2,80,6.3,5.5,2,1.2,2,1
29,140,415,2345.0,0,1,0,190.2,110,35.6,190.9,95,18.3,210.4,120,9.7,12.1,5,2.9,3,0
22,110,510,4102.0,0,0,0,170.4,90,27.5,180.3,85,14.2,200.1,95,8.9,11.0,4,2.4,0,0
35,150,408,3650.0,0,1,3,220.7,120,38.2,210.5,100,18.0,230.0,110,10.0,13.5,6,3.0,1,0
5,30,510,890.0,1,0,8,60.2,45,12.3,80.5,55,9.5,70.0,50,4.5,4.0,1,0.8,2,1
48,220,415,4900.0,0,0,0,330.0,150,55.0,340.0,155,28.0,360.0,160,16.0,19.0,16,5.0,0,0
14,70,408,2100.0,0,1,2,140.5,80,25.0,140.0,90,15.0,150.0,90,9.0,10.0,5,2.5,1,0
27,120,510,3200.0,0,0,0,200.0,100,30.0,190.0,95,17.0,200.0,100,9.5,12.0,5,3.0,3,0
39,190,415,4500.0,0,1,0,280.0,130,45.0,260.0,120,22.0,310.0,140,12.0,15.0,8,4.0,0,0
2,25,510,600.0,1,0,5,50.0,30,10.0,60.0,40,8.0,70.0,40,3.5,3.0,1,0.5,4,1
18,85,408,1800.0,0,1,0,120.0,70,20.0,110.0,75,12.0,140.0,80,7.0,8.0,3,1.5,1,0
33,160,415,4000.0,0,0,0,250.0,120,35.0,200.0,100,18.0,220.0,110,10.0,12.0,6,3.0,2,0
45,200,510,4700.0,0,1,0,300.0,140,50.0,280.0,130,25.0,330.0,150,13.0,16.0,10,5.0,0,0
7,40,408,950.0,1,0,10,70.0,50,15.0,90.0,60,10.0,100.0,60,5.0,6.0,2,1.0,3,1
52,230,415,4800.0,0,0,0,340.0,160,58.0,350.0,160,30.0,370.0,170,17.0,20.0,18,5.3,0,0
15,55,510,1300.0,0,1,0,90.0,60,18.0,120.0,70,12.0,140.0,80,7.0,9.0,4,2.0,1,0
28,140,408,2600.0,0,0,0,200.0,110,32.0,190.0,95,17.0,210.0,110,9.0,12.0,5,3.0,2,0
36,170,415,3500.0,0,1,0,260.0,130,40.0,240.0,120,22.0,280.0,140,12.0,15.0,8,4.0,0,0
4,20,510,700.0,1,0,3,70.0,40,12.0,80.0,55,9.0,90.0,50,4.0,5.0,1,0.8,5,1
23,110,415,3100.0,0,0,0,180.0,90,28.0,190.0,95,15.0,200.0,100,9.0,11.0,4,2.5,1,0
49,240,408,4900.0,0,1,0,350.0,170,60.0,360.0,170,30.0,380.0,170,17.0,20.0,18,5.3,0,0
10,60,510,1500.0,1,0,7,100.0,70,20.0,120.0,80,13.0,150.0,90,8.0,9.0,4,2.0,2,1
31,150,415,3200.0,0,0,0,210.0,110,33.0,200.0,100,18.0,220.0,110,9.5,12.0,5,3.0,3,0
42,210,408,4600.0,0,1,0,310.0,140,50.0,310.0,140,24.0,350.0,150,15.0,18.0,12,4.5,1,0
6,35,510,900.0,1,0,2,80.0,50,15.0,90.0,60,10.0,100.0,60,5.0,6.0,2,1.0,4,1
24,120,415,3300.0,0,0,0,190.0,100,30.0,190.0,95,17.0,200.0,100,9.0,11.0,4,2.5,0,0
37,180,408,4200.0,0,1,0,270.0,130,45.0,260.0,120,22.0,310.0,140,12.0,15.0,8,4.0,2,0
9,70,510,2000.0,1,0,5,110.0,70,22.0,140.0,80,13.0,170.0,90,8.0,10.0,5,2.5,1,0
20,90,415,2800.0,0,0,0,160.0,80,25.0,150.0,90,15.0,170.0,90,8.0,10.0,5,2.5,3,0
44,210,408,4700.0,0,1,0,320.0,140,48.0,310.0,140,24.0,350.0,150,15.0,18.0,12,4.8,0,0
1,10,510,400.0,1,0,1,30.0,20,5.0,40.0,30,6.0,50.0,30,2.0,2.0,1,0.5,5,1
26,130,415,3100.0,0,0,0,190.0,90,28.0,190.0,95,15.0,200.0,100,9.0,11.0,4,2.5,1,0
38,190,408,4300.0,0,1,0,280.0,130,45.0,260.0,120,22.0,310.0,140,12.0,15.0,8,4.0,2,0
11,65,510,1700.0,1,0,4,120.0,70,20.0,140.0,80,13.0,170.0,90,8.0,10.0,5,2.5,1,0
30,140,415,3200.0,0,0,0,210.0,110,33.0,200.0,100,18.0,220.0,110,9.5,12.0,5,3.0,3,0
53,235,415,4800.0,0,0,0,340.0,160,58.0,350.0,160,30.0,370.0,170,17.0,20.0,18,5.3,0,0
28,125,510,3200.0,0,0,0,200.0,100,30.0,190.0,95,17.0,200.0,100,9.5,12.0,5,3.0,3,0
40,195,415,4500.0,0,1,0,280.0,130,45.0,260.0,120,22.0,310.0,140,12.0,15.0,8,4.0,0,0
3,27,510,600.0,1,0,5,50.0,30,10.0,60.0,40,8.0,70.0,40,3.5,3.0,1,0.5,4,1
19,90,408,1800.0,0,1,0,120.0,70,20.0,110.0,75,12.0,140.0,80,7.0,8.0,3,1.5,1,0
34,165,415,4000.0,0,0,0,250.0,120,35.0,200.0,100,18.0,220.0,110,10.0,12.0,6,3.0,2,0
46,205,510,4700.0,0,1,0,300.0,140,50.0,280.0,130,25.0,330.0,150,13.0,16.0,10,5.0,0,0
8,42,408,950.0,1,0,10,70.0,50,15.0,90.0,60,10.0,100.0,60,5.0,6.0,2,1.0,3,1
54,240,415,4800.0,0,0,0,340.0,160,58.0,350.0,160,30.0,370.0,170,17.0,20.0,18,5.3,0,0
13,70,408,2100.0,0,1,2,140.5,80,25.0,140.0,90,15.0,150.0,90,9.0,10.0,5,2.5,1,0
23,95,415,2600.0,0,1,12,190.5,110,32.1,210.3,115,18.4,230.7,105,10.2,9.8,5,2.9,1,0
37,120,408,3100.0,1,0,0,150.2,80,25.4,180.0,90,14.5,190.0,85,8.3,7.2,3,1.8,0,0
12,70,510,1900.0,0,1,5,220.0,120,35.0,240.0,110,19.0,250.0,110,11.0,12.0,6,3.5,2,0
28,140,415,3500.0,0,0,0,170.0,95,28.0,190.0,95,15.0,210.0,90,9.0,8.5,4,2.0,1,1
45,200,408,4200.0,1,1,30,260.0,130,38.0,260.0,120,21.0,280.0,115,12.0,13.0,7,4.0,3,0
5,25,510,800.0,0,0,0,140.0,70,20.0,140.0,70,12.0,150.0,70,6.5,5.0,2,1.2,0,0
32,110,415,2800.0,0,1,8,200.0,115,33.0,230.0,105,18.0,240.0,100,10.5,10.0,5,3.0,1,0
18,90,408,2200.0,1,0,15,170.0,90,29.0,200.0,95,16.0,210.0,85,9.0,8.0,4,2.5,2,0
22,75,510,1900.0,0,1,4,210.0,110,34.0,250.0,110,19.5,260.0,105,11.5,11.0,6,3.2,1,0
40,180,415,4000.0,0,0,0,160.0,85,27.0,190.0,90,15.0,200.0,80,8.0,7.0,3,1.8,0,0
8,40,408,1200.0,0,1,10,180.0,95,30.0,210.0,100,17.0,230.0,95,10.0,9.0,5,2.8,1,0
30,150,510,3600.0,1,0,20,240.0,120,36.0,260.0,115,20.0,280.0,110,12.0,12.0,7,3.8,2,0
9,45,510,1100.0,0,0,0,150.0,85,27.0,190.0,90,15.0,210.0,85,9.0,8.0,4,2.5,0,0
26,115,415,2700.0,0,1,8,220.0,110,34.0,250.0,115,19.0,270.0,105,11.0,10.5,5,3.0,1,0
33,140,408,3200.0,1,0,22,240.0,120,37.0,270.0,120,21.0,290.0,115,12.5,13.0,8,4.0,3,0
4,25,415,700.0,0,0,0,120.0,60,20.0,140.0,70,12.0,150.0,70,6.5,5.0,2,1.2,0,0
20,80,510,1900.0,0,1,10,200.0,100,33.0,240.0,105,18.5,260.0,95,10.5,9.5,5,3.0,2,0
36,170,415,3700.0,1,0,28,260.0,130,38.0,280.0,120,21.0,300.0,120,13.0,14.0,9,4.5,4,0
13,60,408,1600.0,0,1,5,180.0,90,30.0,210.0,100,17.0,240.0,100,10.0,10.0,5,3.0,1,0
29,140,510,3100.0,0,0,0,190.0,110,35.0,250.0,115,19.0,270.0,105,11.0,11.0,6,3.2,1,0
23,90,415,2600.0,0,1,12,210.0,115,34.0,260.0,120,20.0,280.0,110,12.0,12.5,7,3.8,2,0
6,35,408,1100.0,0,0,0,140.0,80,28.0,190.0,90,15.0,210.0,85,9.0,8.0,4,2.5,0,0
34,150,510,3500.0,1,1,30,250.0,125,36.0,270.0,120,21.0,290.0,115,12.5,13.0,8,4.0,5,0
1,15,415,500.0,0,0,0,100.0,50,20.0,120.0,70,12.0,140.0,70,6.0,4.0,1,0.8,0,0
27,110,408,2800.0,0,1,8,200.0,105,33.0,240.0,105,18.5,260.0,95,10.5,9.5,5,3.0,1,0
39,190,510,4200.0,1,0,35,260.0,135,39.0,280.0,125,22.0,310.0,120,13.0,14.0,9,4.5,6,0
12,55,415,1700.0,0,0,0,140.0,80,24.0,170.0,85,14.0,190.0,80,8.0,7.0,3,1.8,0,0
22,95,408,2400.0,0,1,10,210.0,105,34.0,240.0,110,18.0,260.0,100,10.0,9.0,5,3.0,1,0
30,140,510,3200.0,0,0,0,190.0,110,35.0,250.0,115,19.0,270.0,105,11.0,11.0,6,3.2,1,0
18,80,415,2100.0,0,1,12,190.0,100,33.0,230.0,105,18.5,250.0,95,10.5,9.5,5,3.0,2,0
5,30,408,1200.0,0,0,0,140.0,80,28.0,190.0,90,15.0,210.0,85,9.0,8.0,4,2.5,0,0
31,150,510,3400.0,1,1,32,260.0,130,38.0,280.0,120,21.0,300.0,120,13.0,14.0,9,4.5,7,0
16,70,415,1900.0,0,0,0,150.0,90,28.0,190.0,90,15.0,210.0,85,9.0,8.0,4,2.5,0,0
28,120,408,2800.0,0,1,10,210.0,105,34.0,240.0,110,18.0,260.0,100,10.0,9.0,5,3.0,1,0
11,55,510,1700.0,0,0,0,140.0,80,24.0,170.0,85,14.0,190.0,80,8.0,7.0,3,1.8,0,0
4,25,408,800.0,0,0,0,120.0,60,20.0,140.0,70,12.0,150.0,70,6.5,5.0,2,1.2,0,0
23,110,415,2600.0,0,0,5,190.0,95,32.0,210.0,90,18.0,220.0,110,9.0,12.0,4,3.0,1,0
37,150,408,3300.0,0,1,12,170.0,120,28.0,190.0,110,15.0,180.0,95,7.0,9.0,3,2.5,2,0
